Algoritmo,Ponto inicial,# de iteracoes,# de cham. de armijo,Ponto otimo,Valor otimo,Erro de aproximação,Tempo de exec (s)
gradiente,[3.1  1.95],20,135,[3.00000001 1.99999999],3.19782106424710e-15,5.679099683365443e-07,0.5344119071960449
gradiente,[-2.78  3.15],11,77,[-2.80511809  3.13131251],2.20201041509781e-15,5.956040444059617e-07,0.21379876136779785
gradiente,[-3.75 -3.25],10,75,[-3.77931026 -3.283186  ],2.77184593257331e-15,6.59875375977233e-07,0.2568020820617676
gradiente,[ 3.55 -1.82],27,192,[ 3.58442833 -1.84812652],2.83718068049426e-15,6.288718478474112e-07,0.5809259414672852
gradiente,[4 3],19,130,[3.         2.00000001],3.30865783013709e-15,6.509365895604372e-07,0.41602301597595215
gradiente,[3 1],24,161,[3.         1.99999998],6.44046041145763e-15,6.372359437492399e-07,0.4081239700317383
gradiente,[9 1],25,170,[3.         1.99999999],3.77744932771447e-15,5.913610017273776e-07,0.48549509048461914
gradiente,[22 11],24,168,[2.99999999 2.00000002],5.60052689165113e-15,5.657463607980533e-07,0.4761171340942383
gradiente,[ 5.5 10. ],22,153,[3.00000001 2.        ],2.59888197236287e-15,5.927722032400657e-07,0.49567508697509766
newton,[3.1  1.95],3,3,[3. 2.],1.48291343352411e-19,4.654727516289807e-09,0.04437994956970215
newton,[-2.78  3.15],3,3,[-2.80511809  3.13131252],6.32350718816689e-29,9.344610190313599e-14,0.05332493782043457
newton,[-3.75 -3.25],3,3,[-3.77931025 -3.28318599],6.84894554545366e-27,9.952626296002548e-13,0.04892706871032715
newton,[ 3.55 -1.82],3,3,[ 3.58442834 -1.84812653],9.71662652666075e-25,7.483389049882865e-12,0.0684506893157959
newton,[4 3],5,5,[3. 2.],1.12568665687103e-21,2.644513185867673e-10,0.056527137756347656
newton,[3 1],10,11,[3. 2.],2.79694071013221e-22,1.3145505360737025e-10,0.07303285598754883
newton,[9 1],7,7,[ 3.58442834 -1.84812653],1.02584193655595e-24,7.715108436397233e-12,0.051138877868652344
newton,[22 11],9,9,[3.00000001 2.        ],1.33065859051745e-15,4.2472591494301784e-07,0.05875992774963379
newton,[ 5.5 10. ],8,8,[3.         2.00000001],1.88798113165682e-15,3.4148093304744735e-07,0.05163097381591797
quase-newtown (bfgs),[3.1  1.95],6,10,[3. 2.],3.21695859194437e-22,2.0819989757655678e-10,0.043881893157958984
quase-newtown (bfgs),[-2.78  3.15],5,9,[-2.80511809  3.13131252],8.21581092677958e-16,3.4398681067073047e-07,0.055235862731933594
quase-newtown (bfgs),[-3.75 -3.25],5,9,[-3.77931025 -3.28318599],9.30823783741761e-17,1.5428165762905786e-07,0.04048323631286621
quase-newtown (bfgs),[ 3.55 -1.82],5,9,[ 3.58442834 -1.84812653],3.78993053228140e-16,2.792092941535805e-07,0.03685927391052246
quase-newtown (bfgs),[4 3],8,12,[2.99999999 2.        ],1.78407811459043e-15,5.307093206013376e-07,0.05493307113647461
quase-newtown (bfgs),[3 1],10,13,[3. 2.],9.17509018745522e-17,9.656549049911681e-08,0.0772240161895752
quase-newtown (bfgs),[9 1],11,16,[ 3.58442834 -1.84812653],2.17414831983092e-16,2.057456161490158e-07,0.06798624992370605
quase-newtown (bfgs),[22 11],22,29,[3. 2.],4.53923007729687e-18,1.533476434792927e-08,0.11202716827392578
quase-newtown (bfgs),[ 5.5 10. ],16,21,[3. 2.],1.39898777085019e-18,9.713112184070407e-09,0.15050101280212402
quase-newtown (dfp),[3.1  1.95],73,284,[2.99999999 2.00000003],1.15058741604908e-14,7.857318711444106e-07,0.9054059982299805
quase-newtown (dfp),[-2.78  3.15],710,881,[-2.8051181   3.13131253],6.87527247858281e-15,9.71190901799546e-07,3.4312870502471924
quase-newtown (dfp),[-3.75 -3.25],1000,1125,[-3.77929814 -3.28320813],3.77467837909749e-8,0.003067685033609142,4.509809732437134
quase-newtown (dfp),[ 3.55 -1.82],89,302,[ 3.58442834 -1.84812656],1.33373881317480e-14,8.812656993063555e-07,0.8828730583190918
quase-newtown (dfp),[4 3],26,189,[3. 2.],1.47246467281249e-15,4.84664144716806e-07,0.485457181930542
quase-newtown (dfp),[3 1],96,322,[2.99999999 2.00000003],1.44122630844690e-14,8.686206851904103e-07,1.0776848793029785
quase-newtown (dfp),[9 1],248,516,[2.99999999 2.00000004],1.93413473365901e-14,9.978175608998795e-07,1.774299144744873
quase-newtown (dfp),[22 11],1000,1252,[2.99998706 2.00002656],1.13113993005663e-8,0.0007724485346110586,4.7580671310424805
quase-newtown (dfp),[ 5.5 10. ],406,685,[3.00000001 1.99999997],1.65201444761114e-14,9.217968829630303e-07,2.2191569805145264
