Método,Gamma,Eta,Iterações,Iterações Armijo,Ponto otimo,Erro de aproximacao
Gradiente,0.25,0.25,12,46,"[-2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",1.9481937410424577e-07
Newton,0.25,0.25,25,750,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.25,0.25,25,120,"[-2.86389745 -2.81069498 -2.84796039 -2.83715629 -2.79230593 -2.29706158
 -3.0237661  -2.8475642  -2.83715534 -2.79768299 -2.86343092 -2.81188322
 -2.86129686 -2.83715548 -2.8316631  -2.8635597  -3.02380262 -2.85816124
 -2.8275861  -2.84821113 -2.86348756 -2.77917574 -2.85800586 -2.83715482
 -2.84657935 -2.86284626 -2.8748479   2.79697448 -2.82758611 -2.84828305
 -2.8626647  -2.74924747 -2.85466769 -2.83715464 -2.7953312  -2.86280084
 -3.07969271 -2.85435343 -2.8371601  -2.85305803 -2.86279168 -2.76044232
 -2.85561155 -2.82736781 -2.90285743 -2.86307217 -2.77506148  2.7956831
 -2.83715992 -2.90440286 -2.86262897 -2.77077447 -2.86030055 -2.83715933
 -2.89870235 -2.86282472 -2.70079215 -2.85911617 -2.82694449 -2.89995184
 -2.86274447 -2.66614929  2.82232107 -2.82694053 -2.91729885 -2.86310319
 -2.70262239 -2.86102136 -2.82693077 -2.92232787 -2.86227358 -2.7073893
 -2.86613001 -2.82693077 -2.83118585 -2.86209277 -3.09605522 -2.86724757
 -2.83715941 -2.95338063 -2.8621626  -2.73952543 -2.87055767 -2.83715828
 -2.83120824 -2.86221135 -3.09560592 -2.87447393 -2.82690134 -2.9566293
 -2.8622377  -2.74546223 -2.88522949 -2.82690399 -2.95488071 -2.86230047
 -2.99785667 -2.87974126 -2.82689161 -2.8303666 ]",64.66927247244828
Quase Newton (DFP),0.25,0.25,25,505,"[-1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551
 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279
  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573
 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996
  1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022
 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551
 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279
  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573
 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996
  1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022
 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551
 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279
  0.67183573 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573
 -2.3740996   1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996
  1.93587022 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022
 -1.13506551 -3.19292279  0.67183573 -2.3740996   1.93587022 -1.13506551
 -3.19292279  0.67183573 -2.3740996   1.93587022]",266.67061609547625
Gradiente,0.25,0.5,25,117,"[-2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445
 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388
 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946
 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406
 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362
 -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445
 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388
 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946
 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406
 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362
 -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445
 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388
 -2.90353946 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946
 -2.90353406 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406
 -2.9035362  -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362
 -2.90353445 -2.90353388 -2.90353946 -2.90353406 -2.9035362  -2.90353445
 -2.90353388 -2.90353946 -2.90353406 -2.9035362 ]",0.0018145510904482229
Newton,0.25,0.5,25,750,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.25,0.5,25,147,"[ 2.94445864 -2.83010107  2.9584835  -2.34698064 -2.83289716  2.94445319
 -2.80470039  2.95847842 -2.91076456 -2.88066783 -2.87049397 -2.80032552
  2.9584858  -2.93595021 -2.88066782 -2.87047972 -2.80021577  2.95849592
 -3.01794047 -2.88066782 -2.81852999 -2.79541094  2.95849221 -3.01859129
 -2.88066781 -2.81853367 -2.77685495  2.95849986 -2.99942151 -2.88066781
 -2.87049011 -2.78954979  2.95850052 -2.89865835 -2.83289718 -2.81853106
 -2.78878954  2.95849561 -2.90655568 -2.88066781 -2.81852691 -2.74521325
  2.95850012 -2.95530183 -2.88066779 -2.81853096 -2.78898061  2.95849603
 -2.95589987 -2.88066779  2.94446754 -2.78896803  2.95853707 -2.94886911
 -2.88066778 -2.81852789 -2.78918165  2.9585302  -2.95548056 -2.88066778
 -2.81852606 -2.74617519  2.95854036 -2.99922288 -2.88066777  2.94444291
 -2.74801742  2.95853232 -2.99600166 -2.83289724 -2.87046499 -2.78916963
  2.95855683 -2.99926449 -2.88066777 -2.81852796 -2.74813761  2.95856128
 -2.99994344 -2.88066777 -2.81852704 -2.78949603  2.9585848  -3.01503441
 -2.88066776  2.94444925 -2.78949599  2.95857817 -3.01536589 -2.88066777
 -2.81851738 -2.78953598  2.95857844 -3.01537474 -2.88066777 -2.8185229
 -2.78953579  2.95857399 -3.01544395 -2.88066777]",88.9815258852729
Quase Newton (DFP),0.25,0.5,25,132,"[-2.72371514 -3.37815051  2.63273339 -2.64822045  2.62722022 -2.63116845
 -3.37815051  2.63273339 -2.64822045  2.62722022 -2.63116845 -3.37815051
  2.63273339 -2.64822045  2.62722022 -2.72371514 -3.37815051  2.57019452
 -2.64822045  2.51465097 -2.63116845 -3.37815051  2.63273339 -2.69078201
  2.62722022 -2.72371514 -3.37815051  2.57019452 -2.64822045  2.62722022
 -2.72371514 -3.37815051  2.63273339 -2.64822045  2.62722022 -2.63116845
 -3.37815051  2.63273339 -2.64822045  2.51465097 -2.63116845 -3.37815051
  2.63273339 -2.64822045  2.62722022 -2.72371514 -3.37815051  2.63273339
 -2.64822045  2.62722022 -2.63116845 -3.37815051  2.63273339 -2.64822045
  2.62722022 -2.72371514 -3.37815051  2.63273339 -2.64822045  2.62722022
 -2.72371514 -3.37815051  2.63273339 -2.64822045  2.62722022 -2.63116845
 -3.37815051  2.63273339 -2.64822045  2.62722022 -2.72371514 -3.37815051
  2.63273339 -2.64822045  2.62722022 -2.63116845 -3.37815051  2.63273339
 -2.64822045  2.62722022 -2.63116845 -3.37815051  2.63273339 -2.64822045
  2.62722022 -2.72371514 -3.37815051  2.63273339 -2.64822045  2.51465097
 -2.72371514 -3.37815051  2.63273339 -2.64822045  2.51465097 -2.72371514
 -3.37815051  2.63273339 -2.69078201  2.62722022]",210.65554841681595
Gradiente,0.25,0.9,25,135,"[-2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638
 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723
 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653
 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688
 -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243
 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638
 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723
 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653
 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688
 -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243
 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638
 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723
 -2.83043653 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653
 -2.8982688  -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688
 -2.77546243 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243
 -2.86099638 -2.89321723 -2.83043653 -2.8982688  -2.77546243 -2.86099638
 -2.89321723 -2.83043653 -2.8982688  -2.77546243]",45.04778582954772
Newton,0.25,0.9,3,3,"[0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126 0.15673126
 0.15673126 0.15673126 0.15673126 0.15673126]",4.9996825203340885e-15
Quase Newton (BFGS),0.25,0.9,25,119,"[-1.08258457 -3.40039754  2.43647941 -3.44558267  2.73957733 -1.08811094
 -3.40087847  2.4401086  -3.40492867  2.77538223 -1.06192497 -3.40235597
  2.43647941 -3.47043767  2.81010601 -1.072492   -3.40258655  2.44010704
 -3.49088117  2.75831202 -1.06176107 -3.40477364  2.44010665 -3.47835252
  2.74921383 -1.07117381 -3.40590012  2.44010698 -3.46742724  2.75427291
 -1.0690201  -3.40951732  2.44010565 -3.46178534  2.74845463 -1.07715097
 -3.4113273   2.44010633 -3.44049679  2.7466339  -1.08011642 -3.41128861
  2.4401058  -3.46174022  2.69782438 -1.08934263 -3.41016513  2.44010633
 -3.46776142  2.74228116 -1.09178357 -3.41129583  2.44010321 -3.46778879
  2.7468946  -1.08840318 -3.4102615   2.43648215 -3.46776142  2.71177467
 -1.09831082 -3.41039294  2.44010388 -3.46786867  2.69379729 -1.09902823
 -3.41041131  2.44010426 -3.46902823  2.69994149 -1.11066001 -3.41078001
  2.44010178 -3.4690282   2.72355136 -1.11739551 -3.41041119  2.44010264
 -3.46786954  2.72336497 -1.11360855 -3.41032231  2.44009971 -3.49215933
  2.72717175 -1.11403365 -3.41032219  2.44009959 -3.49429673  2.7230307
 -1.12054016 -3.40801946  2.44010183 -3.49429673  2.72686745 -1.1204166
 -3.40801501  2.44009948 -3.49425344  2.66454604]",346.29721870731424
Quase Newton (DFP),0.25,0.9,25,127,"[2.65139241 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241
 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436
 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669
 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671
 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141
 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241
 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436
 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669
 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671
 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141
 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241
 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436
 2.92311669 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669
 2.46463671 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671
 3.17960141 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141
 2.65139241 2.46251436 2.92311669 2.46463671 3.17960141 2.65139241
 2.46251436 2.92311669 2.46463671 3.17960141]",176.8674311628334
Gradiente,0.5,0.1,25,536,"[-2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406
 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404
 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403
 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406
 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405
 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406
 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404
 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403
 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406
 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405
 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406
 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404
 -2.90353403 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403
 -2.90353406 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406
 -2.90353405 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405
 -2.90353406 -2.90353404 -2.90353403 -2.90353406 -2.90353405 -2.90353406
 -2.90353404 -2.90353403 -2.90353406 -2.90353405]",1.784670983472213e-05
Newton,0.5,0.1,25,1450,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.5,0.1,25,91,"[-2.90353402 -2.90353403 -2.90353414 -2.90353404 -2.90353404 -2.90353402
 -2.90353396 -2.90353403 -2.90353405 -2.90353403 -2.90353402 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353402 -2.90353396 -2.90353403
 -2.90353405 -2.90353403 -2.90353402 -2.90353403 -2.90353405 -2.90353403
 -2.90353403 -2.90353402 -2.90353405 -2.90353404 -2.90353405 -2.90353403
 -2.90353402 -2.90353403 -2.90353402 -2.90353403 -2.90353403 -2.90353403
 -2.90353405 -2.90353401 -2.90353405 -2.90353403 -2.90353403 -2.90353406
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353405 -2.90353401
 -2.90353402 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353405 -2.90353401 -2.90353402 -2.90353403
 -2.90353403 -2.90353403 -2.90353399 -2.90353402 -2.90353403 -2.90353403
 -2.90353405 -2.90353399 -2.90353403 -2.90353403 -2.90353403 -2.90353404
 -2.90353399 -2.90353402 -2.90353403 -2.90353403 -2.90353403 -2.90353399
 -2.90353403 -2.90353403 -2.90353403 -2.90353404 -2.90353405 -2.903534
 -2.90353403 -2.90353403 -2.90353403 -2.90353405 -2.903534   -2.90353403
 -2.90353403 -2.90353404 -2.90353405 -2.90353403 -2.90353403 -2.90353403
 -2.90353404 -2.90353405 -2.90353403 -2.90353403]",1.3847271867936803e-05
Quase Newton (DFP),0.5,0.1,25,171,"[-2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228
 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748
 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896
 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508
 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704
 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228
 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748
 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896
 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508
 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704
 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228
 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748
 -2.87142896 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896
 -3.01243508 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508
 -2.86848704 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704
 -2.88298228 -2.96294748 -2.87142896 -3.01243508 -2.86848704 -2.88298228
 -2.96294748 -2.87142896 -3.01243508 -2.86848704]",43.25658937094076
Gradiente,0.5,0.25,25,499,"[-2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401
 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403
 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402
 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407
 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403
 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401
 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403
 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402
 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407
 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403
 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401
 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403
 -2.90353402 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402
 -2.90353407 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407
 -2.90353403 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403
 -2.90353401 -2.90353403 -2.90353402 -2.90353407 -2.90353403 -2.90353401
 -2.90353403 -2.90353402 -2.90353407 -2.90353403]",1.4357266644268323e-05
Newton,0.5,0.25,25,1450,"[ 0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04
 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06
  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03
  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05
  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02 -0.03  0.04 -0.05  0.06  0.02
 -0.03  0.04 -0.05  0.06]",49.27790978414567
Quase Newton (BFGS),0.5,0.25,21,81,"[-2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403 -2.90353403
 -2.90353403 -2.90353403 -2.90353403 -2.90353403]",9.713056250144794e-08
Quase Newton (DFP),0.5,0.25,25,172,"[-2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451
 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378
 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088
 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491
 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836
 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451
 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378
 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088
 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491
 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836
 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451
 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378
 -2.85886088 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088
 -3.01688491 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491
 -2.85609836 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836
 -2.87213451 -2.95695378 -2.85886088 -3.01688491 -2.85609836 -2.87213451
 -2.95695378 -2.85886088 -3.01688491 -2.85609836]",46.28963823792036
