Algoritmo,Ponto inicial,# de iteracoes,# de cham. de armijo,Ponto otimo,Valor otimo,Erro de aproximação,Tempo de exec (s)
gradiente,[0.9 1.1 0.9 1.1 0.9 1.1 0.9],2500,26718,"[0.99983183 0.99966627 0.99932531 0.99865493 0.99729789 0.9945952
 0.98918942]",3.90411988529089e-5,0.010152967409218012,254.4964361190796
gradiente,[2.9 2.1 3.9 4.9 5.9 6.9 7.9],2500,30966,"[1.02913441 1.05925517 1.12235773 1.26036893 1.58977142 2.52974385
 6.40233733]",2.77659297379238,0.9463605699005686,385.30509305000305
gradiente,[2.1 2.9 3.9 4.9 5.9 6.9 7.9],2500,30977,"[1.02916937 1.05932736 1.1225106  1.26071765 1.59061052 2.53268269
 6.41633794]",2.78653699257475,1.772476732004097,385.9340810775757
gradiente,[-2.9 -2.1 -3.9 -4.9 -5.9 -6.9 -7.9],2500,26228,"[0.99796323 0.99590101 0.99183892 0.98366141 0.96755046 0.93596489
 0.87571018]",0.00552276113027757,0.09130538366884475,255.68076395988464
gradiente,[7.9 6.9 5.9 4.9 3.9 2.9 2.1],2500,26886,"[1.00247946 1.00501712 1.01000187 1.02027087 1.04091926 1.08385078
 1.17503948]",0.00927194702553367,0.1783486416118404,338.33508920669556
gradiente,[-7.9 -6.9 -5.9 -4.9 -3.9 -2.9 -2.1],2500,26230,"[0.99795911 0.99594458 0.99183659 0.98375996 0.96765232 0.93622704
 0.8761715 ]",0.00548040289381809,0.09960971215335508,244.39304184913635
newton,[0.9 1.1 0.9 1.1 0.9 1.1 0.9],10,10,"[1.         1.         1.         1.         1.00000001 1.00000001
 1.00000002]",2.00733273811594e-16,9.428157624023417e-08,0.30997562408447266
newton,[2.9 2.1 3.9 4.9 5.9 6.9 7.9],52,72,"[1.         1.         1.         1.         1.00000001 1.00000001
 1.00000002]",5.32486648614157e-16,8.154635734789129e-07,1.4759883880615234
newton,[2.1 2.9 3.9 4.9 5.9 6.9 7.9],52,71,"[1.         1.         1.         1.         1.         1.00000001
 1.00000001]",7.05021392625166e-17,2.0785728350782873e-07,1.4639451503753662
newton,[-2.9 -2.1 -3.9 -4.9 -5.9 -6.9 -7.9],31,41,[1. 1. 1. 1. 1. 1. 1.],3.07832014144705e-27,5.540411134921307e-13,0.7304482460021973
newton,[7.9 6.9 5.9 4.9 3.9 2.9 2.1],40,51,[1. 1. 1. 1. 1. 1. 1.],2.87903567438760e-20,6.795942185848477e-09,1.0978198051452637
newton,[-7.9 -6.9 -5.9 -4.9 -3.9 -2.9 -2.1],33,47,"[1.         1.         1.         1.         1.         0.99999999
 0.99999998]",2.24012542177507e-16,4.0080094950498616e-07,0.8175640106201172
quase-newtown (bfgs),[0.9 1.1 0.9 1.1 0.9 1.1 0.9],21,84,[1. 1. 1. 1. 1. 1. 1.],5.07681903556742e-18,8.126787918798309e-08,1.1903281211853027
quase-newtown (bfgs),[2.9 2.1 3.9 4.9 5.9 6.9 7.9],71,157,"[-0.99172257  0.99355539  0.99217332  0.98689876  0.97516475  0.95143198
  0.90522281]",3.98360053642485,6.02438567216755e-07,2.1360111236572266
quase-newtown (bfgs),[2.1 2.9 3.9 4.9 5.9 6.9 7.9],37,107,[1. 1. 1. 1. 1. 1. 1.],3.49476842206936e-18,7.764041132039222e-08,1.4791898727416992
quase-newtown (bfgs),[-2.9 -2.1 -3.9 -4.9 -5.9 -6.9 -7.9],83,179,[1. 1. 1. 1. 1. 1. 1.],8.70890734155018e-18,1.3565733655998977e-07,2.462944984436035
quase-newtown (bfgs),[7.9 6.9 5.9 4.9 3.9 2.9 2.1],70,159,[1. 1. 1. 1. 1. 1. 1.],1.86912225349928e-16,5.298994010339892e-07,2.419182777404785
quase-newtown (bfgs),[-7.9 -6.9 -5.9 -4.9 -3.9 -2.9 -2.1],89,183,[1. 1. 1. 1. 1. 1. 1.],3.04006284115260e-17,2.5620349343523406e-07,2.5424671173095703
quase-newtown (dfp),[0.9 1.1 0.9 1.1 0.9 1.1 0.9],2500,6659,"[0.99987294 1.0008398  1.00128494 1.00222259 1.00482091 1.00992294
 1.01904634]",0.000377528111958072,0.7784849669791807,95.94184589385986
quase-newtown (dfp),[2.9 2.1 3.9 4.9 5.9 6.9 7.9],2500,6867,"[-0.30005959  0.07892182 -0.03797976 -0.02929812  0.02658232  0.19249023
 -0.04107341]",10.9319323993293,47.83683958595038,81.17518305778503
quase-newtown (dfp),[2.1 2.9 3.9 4.9 5.9 6.9 7.9],2500,6467,"[ 0.62838757  0.3917743   0.16355291  0.06360498  0.00470489  0.0197296
 -0.00092191]",4.22203309008577,7.322211802079133,77.22844696044922
quase-newtown (dfp),[-2.9 -2.1 -3.9 -4.9 -5.9 -6.9 -7.9],2500,6976,"[ 0.8746025   0.66281906  0.29314623 -0.11352503 -0.02744605  0.04885023
 -0.00526983]",11.3872204207371,60.916266545824186,83.47711896896362
quase-newtown (dfp),[7.9 6.9 5.9 4.9 3.9 2.9 2.1],2500,6947,"[ 8.68242504e-01  7.81687294e-01  5.27110144e-01  3.07996732e-01
  1.01713145e-01  2.07457896e-02 -1.12567906e-04]",3.42168140355939,40.96794982448469,86.44356989860535
quase-newtown (dfp),[-7.9 -6.9 -5.9 -4.9 -3.9 -2.9 -2.1],2500,6931,"[-2.50778260e-01  7.80128593e-02  1.78883661e-02  1.04172136e-02
  9.54086524e-03  9.68729067e-03 -9.05494234e-06]",6.38515509849222,1.3249648820201494,81.88628602027893
