Método,Gamma,Eta,Iterações,Iterações Armijo,Ponto otimo
Gradiente,0.1,0.1,1000,3790,"[0.99549075 0.9910699  0.98204482 0.96447963 0.92993754 0.86451287
 0.7466169 ]"
Newton,0.1,0.1,51,95,"[0.99999998 0.99999996 0.99999992 0.99999984 0.99999968 0.99999937
 0.99999873]"
Quase Newton (BFGS),0.1,0.1,69,116,[1. 1. 1. 1. 1. 1. 1.]
Quase Newton (DFP),0.1,0.1,1000,1600,"[0.8798658  0.76971702 0.57763346 0.34680904 0.14677249 0.02892609
 0.01517369]"
Gradiente,0.1,0.25,1000,3880,"[0.99511974 0.99004607 0.98048032 0.9609049  0.92343645 0.85219757
 0.72549643]"
Newton,0.1,0.25,57,107,"[1.         1.         1.         1.         1.         1.
 0.99999999]"
Quase Newton (BFGS),0.1,0.25,73,131,[1. 1. 1. 1. 1. 1. 1.]
Quase Newton (DFP),0.1,0.25,1000,1564,"[0.74125799 0.5412597  0.29833998 0.07750272 0.0073592  0.03464675
 0.00870256]"
Gradiente,0.1,0.5,1000,4249,"[0.99216688 0.9843375  0.96891653 0.93862021 0.88078527 0.77520187
 0.59966355]"
Newton,0.1,0.5,74,143,"[1.         1.         1.         1.         1.         0.99999999
 0.99999998]"
Quase Newton (BFGS),0.1,0.5,101,204,[1. 1. 1. 1. 1. 1. 1.]
Quase Newton (DFP),0.1,0.5,1000,1575,"[0.73694409 0.53472032 0.29213398 0.07457143 0.01030207 0.03116826
 0.01116203]"
Gradiente,0.1,0.9,1000,4401,"[0.98977852 0.97990594 0.95973009 0.92133165 0.84827667 0.71901222
 0.51529898]"
Newton,0.1,0.9,199,398,"[1.         0.99999999 0.99999998 0.99999996 0.99999993 0.99999985
 0.9999997 ]"
Quase Newton (BFGS),0.1,0.9,248,512,"[1.         0.99999999 0.99999999 0.99999998 0.99999995 0.9999999
 0.99999981]"
Quase Newton (DFP),0.1,0.9,1000,2149,"[0.74142134 0.541811   0.29727373 0.08720331 0.01307822 0.03427175
 0.0053252 ]"
Gradiente,0.25,0.1,1000,5621,"[0.99352362 0.98758964 0.9744459  0.95029777 0.90219769 0.8138472
 0.66117734]"
